date,startup,vertical,subvertical,city,investors,round,amount
25-09-2017,Rapido,Consumer Internet,Bike Aggregator Mobile App,Bengaluru,Battery Road Digital Holdings LLC,Seed Funding,3.46
25-09-2017,Sportobuddy,Consumer Internet,Sports & Sport related equipment portal,Mumbai,Mehul Shah,Seed Funding,1.23
27-09-2017,Transerve,Technology,Geospatial Technology-based SaaS solutions,Mumbai,"IL&FS Investment Managers, Omidyar Network.",Private Equity,13.12
27-09-2017,Pitstop,Consumer Internet,Car repair and Servicing Platform,Bengaluru,"Blume Ventures, Goldbell Group, Anurag Srivastava, Shailesh Rao, Amiya Pathak, Rajesh Yohanan and Rahul Garg",Private Equity,8.2
27-09-2017,MyUpchar,Consumer Internet,Local Language Health Information portal,New Delhi,LetsVenture,Seed Funding,2.46
28-09-2017,Aadyah,Technology,Defense Tech & Aerospace startup,Bengaluru,Keiretsu Forum,Private Equity,8.2
03-10-2017,Ola Cabs,Consumer Internet,App based cab hailing services,Bengaluru,"Tencent, Softbank Group",Private Equity,901.89
04-10-2017,CollPoll,Consumer Internet,Education collaboration platform,Bengaluru,Sprout Angels,Seed Funding,2.51
04-10-2017,PhonePe,Consumer Internet,Digital Wallet,Bengaluru,Flipkart,Private Equity,317.3
05-10-2017,Little Black Book,Consumer Internet,Local Recommendations and Discoveries Platform,New Delhi,"Blume Ventures, IDG Ventures & Indian Angel Network",Private Equity,8.2
05-10-2017,Oorjan,Technology,rooftop solar platform,Mumbai,Globevestor,Seed Funding,3.69
05-10-2017,Zefo,E-Commerce,E-Commerce Portal for Used Goods,Bengaluru,"Sequoia India, Helion Venture Partners, Beenext",Private Equity,75.43
06-10-2017,Yaantra,E-Commerce,Mobile repair and Refurbishment platform,New Delhi,Carpediem Capital,Private Equity,25.42
06-10-2017,Farm Taaza,Technology,Fresh Produce SCM company,Bengaluru,"Epsilon Venture Partners, Tara India Fund IV and others",Private Equity,65.59
06-10-2017,Drivezy,Consumer Internet,Self Drive car and bike rental platform,Bengaluru,"Das Capital, Axan Partners, Das Capital and IT Farm",Private Equity,81.99
06-10-2017,Slice Pay,Consumer Internet,Student Micro-financing platform,Bengaluru,"Das Capital, Simile Ventures",Private Equity,16.4
09-10-2017,MyGubbi,E-Commerce,Home Interior Designing Seller,Bengaluru,"Firoze Irani, Vipul Parekh, Ananda Kallugadde, Rajesh K Murthy",Private Equity,22.14
09-10-2017,OneStepUp,Technology,Education Technology platform,New Delhi,Orient BlackSwan,Seed Funding,2.75
10-10-2017,Parallel Dots,Technology,AI-powered deep learning solutions,Gurgaon,"Multipoint Capital,",Private Equity,11.48
10-10-2017,Easy Diner,Consumer Internet,online restaurant reservation platform,Gurgaon,Saama Capital and DSG Consumer Partners,Private Equity,36.9
11-10-2017,Meesho,E-Commerce,Online Reseller Network,Bengaluru,"SAIF Partners, YCombinator, Venture Highway",Private Equity,25.42
11-10-2017,StanPlus,Logistics,Medical Transportation Services,Hyderabad,KStart Capital,Private Equity,9.02
12-10-2017,UCLID,Technology,"Education Network for Institutions, teachers & Students",Hyderabad,Undisclosed investors,Seed Funding,1.93
13-10-2017,Policy Bazaar,Consumer Internet,Online insurance policy aggregator,Gurgaon,"Wellington Management, DG Ventures India, True North",Private Equity,631.32
13-10-2017,Gapoon,Consumer Internet,home maintenance services platform,Bengaluru,"Vida Ventures, Snehal Mantri, Anshu Bahadur",Seed Funding,2.05
13-10-2017,Chaayos,E-Commerce,Online Chai ordering platform,Gurgaon,Tiger Global Management,Private Equity,16.4
16-10-2017,KrazyBee,Consumer Internet,Micro-lending platform,Bengaluru,"Xiaomi Technologies, Shunwei Capital",Private Equity,65.59
16-10-2017,Renew Buy,Consumer Internet,Online Insurance Aggregator,New Delhi,Amicus Capital,Private Equity,75.43
17-10-2017,Fingerlix,Consumer Internet,Food Ordering Portal,Bengaluru,"Accel Partners, Zephyr Peacock",Private Equity,57.39
18-10-2017,Bank Bazaar,Consumer Internet,Online Financial Marketplace,Chennai,Experian,Private Equity,57.39
18-10-2017,BlackBuck,Logistics,B2B Logistics provider,Bengaluru,Innoven Capital,Private Equity,63.13
18-10-2017,LenDen Club,Consumer Internet,Online peer-to-peer lending platform,Mumbai,Undisclosed Investor,Seed Funding,4.1
23-10-2017,Toppr,Consumer Internet,Mobile based learning app,Mumbai,"SAIF Partners, Helion Ventures, FIL Capital Management",Private Equity,57.39
23-10-2017,RAW Pressery,Food & Beverages,Cold pressed Juice maker,Mumbai,"DSG Consumer Partners, Sequoia Capital, Saama Capital",Private Equity,49.19
23-10-2017,Cashe,Consumer Internet,app-only lending platform,Mumbai,IFMR Capital,Debt Funding,25.42
23-10-2017,Park Easy,Consumer Internet,Machine learning based parking discovery,Kolkata,Rockstart Accelerator,Seed Funding,0.97
24-10-2017,FYRE,Food & Beverages,Herbal energy shot maker,Mumbai,Venture Catalysts,Seed Funding,4.1
24-10-2017,ZipLoan,Consumer Internet,SME lending platform,New Delhi,"Matrix Partners India, WaterBridge Ventures, Whiteboard Capital, Sarbvir Singh",Private Equity,24.6
24-10-2017,Skillenza,Consumer Internet,Online Learning Platform,Bengaluru,"Blume Ventures, Indian Angel Network",Seed Funding,5.92
25-10-2017,SpotDraft,Consumer Internet,Contract Automation,Gurgaon,"Hunch Ventures, Spiral Ventures, 500 Startups, Singapore Angel Network, Citrus Payments",Seed Funding,4.51
26-10-2017,Big Basket,E-Commerce,Online Grocery portal,Bengaluru,Helion Ventures Partners,Private Equity,41
27-10-2017,OfBusiness,Technology,B2B Finance & Fulfilment Network,Gurgaon,Kotak Mahindra Bank,Debt Funding,31.16
28-10-2017,CashFree,Technology,Payments Platform for Marketplaces and Fintechs,New Delhi,Y Combinator,Seed Funding,0.98
28-10-2017,Ola Cabs,Consumer Internet,App based cab hailing services,Bengaluru,ANI Technologies Pvt. Ltd,Private Equity,63.13
30-10-2017,GoldFarm,Food & Beverages,Agriculture Technology,Coimbatore,Mahindra & Mahindra and Infuse Ventures,Private Equity,16.4
31-10-2017,NetMeds,E-Commerce,Online Pharmacy,Chennai,TannCam Investment & Sistema Asia Fund,Private Equity,114.79
31-10-2017,MSE,Finance,Equity Stock Exchange,Mumbai,"IL&FS, Trust Capital, Rosy Blue Securities, Radhakrishan Damani and Rakesh Jhunjhunwala",Private Equity,262.37
02-11-2017,Prest Loans,Finance,Business & SME Loans provider,New Delhi,"Manish Poddar, Arun Garg, Parmeshwar Sharma",Seed Funding,4.67
03-11-2017,Vagupu,Technology,Online Tutorial Marketplace,Bengaluru,Undisclosed Investors,Seed Funding,8.2
03-11-2017,Kalpnik Technologies,Technology,VR based Spiritual platform,Bengaluru,Venture Catalysts,Seed Funding,4.1
04-11-2017,Hevo Data,Technology,Real time data analytics & reporting,Bengaluru,IDG Ventures India,Private Equity,8.2
07-11-2017,DocTalk,Technology,Doctor Patient Communication platform,Mumbai,"Matrix Partners India, Khosla Ventures",Private Equity,41
07-11-2017,CoveIoT,Technology,Wearable tech and Internet of Things platform,Bengaluru,"Titan Co Ltd, Tata Groups watch and jewellery retailing firm",Private Equity,41
08-11-2017,TalentEdge,Technology,Distance Education Learning Platform,Bengaluru,Lumis Partners,Private Equity,62.31
08-11-2017,Fisdom,Finance,Mutual Fund Investment App,Bengaluru,Quona Capital Management,Private Equity,24.6
08-11-2017,FarmLink,E-Commerce,Online platform for Agricultural products,Mumbai,"Pioneering Ventures, Syngenta AG",Private Equity,24.6
08-11-2017,OpenApp,Technology,IoT based Tech Startup,Bengaluru,"Axilor Ventures, Kumar Vembu",Private Equity,29.52
09-11-2017,NoPaperForms,Technology,Enrolment Management Platform,Delhi,Info Edge,Seed Funding,7.15
10-11-2017,Qubole,Technology,Big Data based analytics platform,Bengaluru,"Singtel, Innov8, Harmony Partners",Private Equity,204.97
13-11-2017,Universal Sportsbiz Pvt. Ltd,E-Commerce,Celebrity fashion accessories and merchandise,Mumbai,Accel Partners,Private Equity,122.98
14-11-2017,Active AI,Technology,AI based FinTech platform,Bengaluru,Vertex Ventures,Private Equity,67.64
15-11-2017,Sumeru,Technology,Banking Software License Platform,Bengaluru,Undisclosed Investors,Seed Funding,7.38
15-11-2017,Omnia Information,Technology,WiFi Analytics Platform,Delhi,Omidyar Network,Private Equity,24.6
17-11-2017,Kanhaiya,Inspiration,Storytelling platform,Hyderabad,Undisclosed Investors,Seed/Angel Funding,1.64
20-11-2017,ONN Bikes,Technology,Self riding bike rental program,Mumbai,Z Nation Lab,Seed/Angel Funding,5.67
21-11-2017,Rapido,Technology,Bike and Taxi pooling online platform,Hyderabad,"Skycatcher Fund, Aravind Sanka",Seed/Angel Funding,2.7
21-11-2017,Heckyl,Technology,Big Data Analytics Platform,Mumbai,"Notion Capital, IDG Ventures",Private Equity,22.14
21-11-2017,Nuvepro,Technology,Managed Cloud Environment Solutions,Mumbai,1Crowd,Seed/Angel Funding,3.28
21-11-2017,RedBook,Technology,AI based pharmacy drugs insights platform,Mumbai,"Vida Ventures, Dr. Aniruddha Malpani",Seed/Angel Funding,2.05
21-11-2017,Portea,Healthcare,Healthcare facilities at doorstep,Bengaluru,"Sabre Partners, MEMG CDC",Private Equity,213.17
21-11-2017,Epiq Capital,Finance,Tech based investor firm,Mumbai,Global Institutional Investors,Private Equity,1639.8
24-11-2017,IDG Ventures,Finance,Venture Capitalist,Bengaluru,Uniliver Ventures,Private Equity,81.99
24-11-2017,TempGo,Technology,IoT and SaaS based transportation platform,Goa,Javelin StartupO Victory Fund,Seed/Angel Funding,2.05
27-11-2017,Edelweiss,Finance,Diversified Financial,Mumbai,Undisclosed investors,Private Equity,2213.73
27-11-2017,ERA,Technology,Identity management platform,Mumbai,Amit Patni,Seed/Angel Funding,0.32
27-11-2017,Smaaash,Technology,Virtual Reality based gaming platform,Mumbai,Sixth Sense Ventures,Private Equity,31.16
28-11-2017,Chumbak,Lifestyle,Designer-led consumer products,Bengaluru,Gaja Capital,Private Equity,106.59
28-11-2017,FR8,Technology,Online Truck aggregator platform,Chennai,IFMR Capital,Debt Funding,12.3
28-11-2017,MobieFit,Healthcare,Health and fitness based mobile App,Goa,"NB Ventures, MediAssist",Seed/Angel Funding,11.07
28-11-2017,Stanza Living,Technology,Student accommodation platform,Delhi,"Matrix PArtners, Accel",Private Equity,16.4
05-12-2017,Dunzo,Technology,Daily Task Management Mobile App,Bengaluru,Google,Private Equity,100.85
05-12-2017,Tata Housing,Real Estate,Residential Project,Mumbai,Hines,Private Equity,188.58
05-12-2017,HandyTrain,Technology,Mobile Learning Management Platform,Goa,NB Ventures,Private Equity,8.2
05-12-2017,Mobycy,Technology,Bicycle sharing Platform,Gurgaon,Undisclosed Investors,Seed/Angel Funding,4.1
06-12-2017,Greenlight Planet,Technology,Off-grid solar products platform,Mumbai,"Apis Partner, Eight Roads Ventures, Bamboo Capital Partners",Private Equity,491.94
06-12-2017,Fintobox,Technology,Child Learning & Development Platform,Chennai,Lightbox,Private Equity,57.39
07-12-2017,Mswipe,Technology,Mobile point of sale services provider,Mumbai,Eduardo Saverin,Private Equity,81.99
07-12-2017,The Label Life,E-Commerce,Home Decor and Online Fashion Portal,Mumbai,Kalpvriksh,Private Equity,25.42
07-12-2017,Cygnus Hospitals,Healthcare,Super speciality Hospitals,Gurgaon,Somerset Indus Capital Ventures,Seed/Angel Funding,6.15
07-12-2017,eShakti,E-Commerce,Women's Fashion Clothing Online Platform,Chennai,IDG Ventures,Debt Funding,18.86
08-12-2017,Inshorts,Technology,Mobile News Curation App,Noida,Tiger Global,Private Equity,41
11-12-2017,Vahdam Tea,E-Commerce,Online Platform Selling Indian Tea Globally,Delhi,"Singapore Angel Network, Mumbai Angel",Private Equity,12.3
11-12-2017,Logic Roots,Technology,Educational Platform to Learn Mathematics,Mumbai,Village Capital,Seed/Angel Funding,0.41
11-12-2017,Project Mudra,Technology,Assisting Visually Impaired to learn through Braille,Bengaluru,Village Capital,Seed/Angel Funding,0.41
11-12-2017,Furlenco,Technology,Furniture Rental Platform,Bengaluru,Aamir Khan,Debt Funding,9.84
12-12-2017,I Can Stay,Technology,Hotel Aggregator Platform,Delhi,HT Media,Private Equity,14.76
12-12-2017,Simility,Technology,Adaptive Fraud Intelligence Platform,Hyderabad,Accel Partners,Private Equity,143.48
12-12-2017,Shopholix,E-Commerce,Fashion and Lifestyle Coupon Platform,Gurgaon,Munesh Khanna,Seed/Angel Funding,1.91
13-12-2017,MindTickle,Technology,Gamification Platform to train Sales People,Pune,Canaan Partners,Private Equity,221.37
13-12-2017,Nazara Technologies,Technology,Mobile Games Development Firm,Mumbai,Rakesh Jhunjhunwala,Private Equity,221.37
13-12-2017,DocsApp,Technology,Mobile Application for Doctor Consultation,Bengaluru,Bessemer Venture Partners,Private Equity,59.03
14-12-2017,Tea Box,E-Commerce,Fresh Indian Tea Selling Platform across 112 countries,Bengaluru,RB Investments,Private Equity,57.39
14-12-2017,Transversal Technologies,Technology,Hyperlocal Video Information Sharing Platform,Bengaluru,Matrix Partners,Private Equity,49.19
14-12-2017,Curofy,Technology,Mobile App for Network of Doctors,Gurgaon,RoundGlass Partners LLC,Seed/Angel Funding,2.05
14-12-2017,HomeLane,E-Commerce,Online Furniture Marketplace,Bengaluru,"Accel Partners, Sequoia Capital, RB Investments",Private Equity,81.99
15-12-2017,Purplle,E-Commerce,Beauty Products Online Marketplace,Mumbai,"Mountain Pain Capital, Suncoast Investments",Seed/Angel Funding,4.4
19-12-2017,Springboard,Technology,Online Courses and Mentoring from Experts,Bengaluru,"Costanoa, Learn Capital, Jyoti Bansal",Private Equity,77.89
19-12-2017,9Stacks,Technology,Online Poker Platform,Delhi,"Swati Gupta, Purnima Khandelwal, Maheshwar Peri, Sanjay Singh",Private Equity,12.3
20-12-2017,Your Quote,Technology,Vernacular and Video Content Platform,Bengaluru,"Axilor Ventures, E-City VEntures Atul Goel",Private Equity,8.2
20-12-2017,Spandana Sphoorty,Finance,Micro finance institution providing small ticket unsecured loans to women,Hyderabad,"Kedaraa Capital, Ontario Teachers",Private Equity,159.88
21-12-2017,Indus OS,Technology,Regional Operating System for Smartphones,Mumbai,Omidyar Network,Private Equity,32.8
21-12-2017,EasyEcom,E-Commerce,E-Commerce enabler platform,Bengaluru,"Ambarish Gupta, Aneesh Reddy, Bold Ventures, Vona Investments",Seed/Angel Funding,1.23
26-12-2017,Specsmakers,E-Commerce,Online Spects Platform for Men and Women,Chennai,Eight Roads Ventures India,Private Equity,81.99
27-12-2017,Foyr.com,Technology,Realty Tech Startup solving real life Interior Designing problems,Hyderabad,Jones Lang LaSalle,Private Equity,31.16
04-01-2018,EarlySalary,Finance,Online Lending,Pune,Eight Roads Ventures India,Private,128.72
09-01-2018,Lendingkart,Finance,Online Lending,Ahmedabad,Nederlandse Financierings-Maatschappij voor Ontwikkelingslanden N.V.,Debt Funding,38.54
10-01-2018,Tapzo,Technology,Personal Assistant,Bengaluru,RuNet & Other,Private Equity,15.82
10-01-2018,Appario Retail Pvt Ltd.,E-commerce,Retail,Delhi,Amazon-Patni JV,Private Equity,154.47
10-01-2018,Samunnati,Finance,Agricultural Loan,Chennai,"responsAbility, Elevar Equity and Accel Partners",Private Equity,192.68
10-01-2018,Sahajanand Medical Technologies,Technology,Medical Devices,Surat,Morgan Stanley Private Equity Asia,Private Equity,297.05
12-01-2018,Kuants,Technology,Algorithmic Trading,Gurgaon,"Pankaj Chopra, Ankush Gupta",Seed/Angel Funding,0.66
12-01-2018,Razorpay,Technology,Payment Gateway,Bengaluru,"Tiger Global, Y Combinator",Private Equity,163.98
15-01-2018,Streak,Technology,Algorithmic Trading,Bengaluru,"Indian fintech fund, Rainmatter",Seed/Angel Funding,2.91
15-01-2018,pi Ventures,Finance,Venture Capital,Bengaluru,"Sunil Kant Munjal, Hero Electronixs corporate financing arm, Electronic Development Fund",Private Equity,204.97
15-01-2018,Newgen Software,Technology,IT,New Delhi,"Goldman Sachs, hedge fund & Others",Private Equity,163.98
17-01-2018,Rubix,Technology,Education,Pune,Polaris Fund,Private Equity,8.2
18-01-2018,ShareChat,Technology,Social,Bengaluru,"Xiaomi Singapore, Shunwei Capital",Private Equity,149.22
22-01-2018,Paperflite,Technology,IT,Chennai,The Chennai Angels,Seed/Angel Funding,3.28
22-01-2018,HungerBox,Consumer Internet,Food and Beverages,Bengaluru,Lionrock Capital,Private Equity,20.5
22-01-2018,OptaCredit,Finance,Alternative Lending,Chennai,DMI Finance,Private Equity,32.8
22-01-2018,AEON Learning,Technology,Education,Bengaluru,Dr. Ranjan Pai,Private Equity,26.24
23-01-2018,Milkbasket,E-commerce,Online Grocery,Gurugram,Unilever Ventures,Private Equity,24.6
24-01-2018,NeoGrowth Credit,Finance,Digital Lending,Mumbai,"LeapFrog Investments, Aspada Investment, Quona Capital",Private Equity,385.35
24-01-2018,Rao IIT Academy,Education,Coaching Services,Mumbai,Avendus Finance,Structured Debt,70.51
24-01-2018,Aye Finance,Finance,Online Lending,Gurugram,IFMR Capital,Term Loan,51.16
25-01-2018,GreyAtom,Technology,Education,Mumbai,Pravega Ventures,Private Equity,8.2
26-01-2018,Axio,Healthcare,Hemostatic Dressing Solutions,Bengaluru,RNT Capital,Private Equity,60.67
29-01-2018,eKincare,Healthcare,Technology,Hyderabad,"Ventureast, Endiya Partners, Eight Roads Ventures, Touchstone Equities, BVR Mohan Reddy",Private Equity,12.3
29-01-2018,The Wedding Brigade,Consumer internet,Online Services,Mumbai,Blume Ventures,Private Equity,8.2
30-01-2018,PeeSafe,Healthcare,Hygiene,Gurugram,"Shivani Singh, Rahul Maroli, Mitesh Shah, Venture Catalysts, Alfa Capital, Green Shots Capital, Real Time Ventures.",Private Equity,8.2
30-01-2018,BrowserStack,Technology,Browser Testing,Mumbai,Accel Partners,Private Equity,409.95
30-01-2018,Scapic,Technology,Virtual Reality,Bengaluru,"Axilor Ventures, Newfort Capital",Seed/Angel Funding,4.1
30-01-2018,MoneyOnMobile,Technology,Mobile Payment Platform,Mumbai,Undisclosed Investors,Private Equity,62.31
30-01-2018,CureFit,Healthcare,Fitness,Bengaluru,"HDFC Bank, Axis Bank",Debt Funding,81.99
31-01-2018,iNurture,Technology,Education Solutions,Bengaluru,Ventureast,Private Equity,36.08
01-02-2018,BigBasket,Consumer Internet,Online Grocery & Food Store,Bengaluru,"Alibaba, Helion Venture Partners, Bessemer Venture Partners, Ascent Capital",Private Equity,2459.7
01-02-2018,Zomato,Food and Beverages,Food Ordering and Restaurant Discovery,Gurugram,Ant Financials,Private Equity,1639.8
05-02-2018,Pratilipi,Publishing,E-Publishing,Bengaluru,Omidyar Network,Private Equity,35.26
05-02-2018,Asia Institute Of Medical Science,Healthcare,Super-specialty Hospital,Faridabad,CDC Group Plc,Private Equity,172.18
05-02-2018,CollegeDekho,Consumer Internet,Online platform for Higher Education Services,Gurugram,"Man Capital LLP, Girnar Software, Others",Private Equity,16.4
06-02-2018,Healthi,Healthcare,Preventive Health Checkup,Bengaluru,Montane Ventures,Private Equity,25.42
07-02-2018,Swiggy,Food and Beverages,Online Food Delivery,Bengaluru,Naspers,Private Equity,819.9
08-02-2018,Shape,Healthcare,"Online Portal for Diet,fitness and Beauty",Pune,Sandeep Mathur,Seed/Angel Funding,819.9
08-02-2018,Icertis,Consumer Internet,Enterprise Contract Management Platform,Pune,Meritech Capital Partners,Private Equity,409.95
09-02-2018,healthifyme,Healthcare,Mobile Weight Loss Coach,Bengaluru,Sistema Asia Fund,Private Equity,98.39
09-02-2018,Rupeek,Consumer Internet,Online Gold Loan,Bengaluru,"Accel Partners, Sequoia Capital",Private Equity,56
12-02-2018,Lendingkart,Finance,Online Lending Platform,Bengaluru,Fullerton Financial Holdings Pte Ltd & Others,Private Equity,713.31
12-02-2018,Cashify,E-Commerce,Online Selling,Gurugram,Trifecta Capital,Debt Funding,7.67
13-02-2018,holachef,Food and Beverages,Online Food Delivery,Mumbai,Ashok Kumar Gajera,Seed/Angel Funding,2.55
13-02-2018,IMAX Program,Ed-Tech,Individualised Progressive Learning Program,Bengaluru,"Michael & SUSn Dell Foundation, LGT Impact Ventures",Private Equity,110.69
14-02-2018,OYO Rooms,Hospitality,Budget Rooms,Gurgaon,DiDi Chuxing,Equity,819.9
14-02-2018,Littlemore,Ed-Tech,Online Education Platform,Chennai,Kalpavriksh,Private Equity,24.6
14-02-2018,Toppr,Ed-Tech,Online Education Platform,Mumbai,Axis Capital Partners,Private Equity,0.82
14-02-2018,Shirsa Labs,Ed-Tech,Integrated Kids Engagement Company,Mumbai,"Dewang Neralla, Mahesh Kothurkar,Atul Agarwal",Private Equity,4.1
14-02-2018,MoneyOnMobile,Technology,mobile payment platform,Mumbai,S7 Group,Private Equity,41
15-02-2018,PetSutra,Consumer Internet,Online Pet Care Products,Gurugram,Michael Patrick Hickey,Seed/Angel Funding,1.22
15-02-2018,Infibeam,E-Commerce,Online Retailing,Ahmedabad,Network 18,Private Equity,51.08
16-02-2018,happay,Finance,Expense Management,Bengaluru,Sequoia and Jerry Yang,Seed/Angel Funding,2.05
16-02-2018,Fincash,Finance,Fin-Tech,Mumbai,"Mohammed Khan, Sameer Narayan & Others",Seed/Angel Funding,1.23
19-02-2018,AyeFinance,Finance,Online Lending,Gurugram,"Hinduja Leyland Finance, IntelleGrow",Private Equity,31.16
20-02-2018,Agricxlab,Agriculture,Agri-tech,Mumbai,Ankur Capital,Seed/Angel Funding,4.1
21-02-2018,Udaan,E-Commerce,B2B Marketplace,Bengaluru,Lightspeed & Yuri Milner,Private Equity,409.95
21-02-2018,Capillary,IT,SaaS,Bengaluru,"Wargburg Pincus, Sequoia",Private Equity,163.98
21-02-2018,The Healthy Billions,Healthcare,Analytics,Gurugram,"Blume Ventures, HealthQuad and Fireside Ventures",Private Equity,17.22
26-02-2018,Avishkaar Box,Ed-Tech,Education,Delhi,Auxano Deals,Private Equity,6.33
26-02-2018,Planys Technologies,Technology,Robotic InspectionStartup,Chennai,"Kris Gopalakrishnan, Pratithi Investment Trust, MEMG Family Office, S Gopal",Private Equity,8.53
27-02-2018,Trilyo,Technology,AI platform for hospitality industry,Mumbai,"Startup Buddy,Amit Manocha and others",Seed/Angel Funding,2.05
28-02-2018,Credy,IT,SaaS,Bengaluru,"Y Combinator, Khosla Ventures, Vy Capital and others",Seed/Angel Funding,11.48
01-03-2018,Buddy4studdy,Consumer Internet,Online Scholarship Portal,Noida,CBA Capital and others,Private Equity,24.6
01-03-2018,Urban Ladder,E-Commerce,Online Furniture Store,Bengaluru,"Sequoia Capital, SAIF Partners and Kalaari capital",Private Equity,98.39
03-03-2018,Kuvera,Consumer Internet,Online Financial Planning,Bengaluru,"Baskar Subramanian, Saket Kumar, Gaurav Suri and Ankit Kesarwani",Seed/Angel Funding,2.05
04-03-2018,Gramophone,Technology,Agri-tech,Indore,InfoEdge,Seed/Angel Funding,8.2
04-03-2018,Livehealth,Consumer Internet,Health Service Aggregator Platform,Pune,Nexus Venture Partners,Seed/Angel Funding,9.02
05-03-2018,Wellthy,Healthcare,Therapeutics,Mumbai,"Ranjan Pai, Apoorva Patni, Beenext Ventures,GrowX Ventures",Private Equity,17.22
05-03-2018,MedGenome,Healthcare,"Genetic Screening, DNA Diagnostics Labs & Research Centers",Bengaluru,"HDFC Life, HDFC Asset Management",Private Equity,81.99
05-03-2018,Finova Capital,Consumer Internet,Online Lending,Jaipur,Sequoia Capital,Private Equity,49.19
05-03-2018,Hotelogix,Technology,Cloud based Online Hotel Management Software,Noida,"Vertex Ventures, Accel Partners and Saama Capital",Private Equity,41
06-03-2018,Ad2pro,Technology,"Creative Design, Brand, Media and Technology Platform Solutions",Chennai,Avendus Finance Pvt. Ltd,Debt Funding,79.53
06-03-2018,Coverfox,Consumer Internet,Online Insurance Aggregator,Mumbai,Aegon NV,Private Equity,62.31
08-03-2018,Pepperfry,Consumer Internet,Online Furniture Shopping Store,Mumbai,State Street Global Advisors,Private Equity,314.84
08-03-2018,Magicpin,Consumer Internet,Hyperlocal Discovery,Gurugram,Trifecta Capital,Debt Funding,8.2
12-03-2018,HealthCare,Consumer Internet,Healthcare Aggregator,Mumbai,HR Fund,Seed/Angel Funding,8.2
13-03-2018,PineLabs,Technology,Digital Payment Platform,Mumbai,"Actis, Altimeter Capital",Private Equity,672.32
14-03-2018,AvailFinance,Consumer Internet,Online Lending Platform,Bengaluru,"Matrix Partners, Bhavish Aggarwal, Ankit Bhati, Binny Bansal, Kunal Shah and Manish Patel.",Private Equity,141.02
15-03-2018,Grofers,Consumer Internet,Online Grocery Shop,Gurugram,"SoftBank, Tiger Global and Apoletto Managers.",Private Equity,508.34
19-03-2018,Fingerlix,Consumer Internet,Ready To cook Food Solution,Mumbai,Alteria Capital,Debt Funding,10.74
19-03-2018,Karma Healthcare,Healthcare,Technology enabled equitable healthcare for India,Udaipur,"1Crowd, Ankur Capital",Seed/Angel Funding,4.1
19-03-2018,Zappfresh,Food & Beveragess,Online Raw Meat E-Tailer,Gurugram,"Amit Burman, SIDBI Venture Capital",Seed/Angel Funding,24.6
19-03-2018,CustomerSucessBox,Technology,Customer Success Software for B2B SaaS,Gurugram,"Pi Ventures, Axilor Ventures",Seed/Angel Funding,8.2
22-03-2018,Chargebee,Technology,Subscription Billing & Recurring Payments Software,Chennai,"Insight Venture Partners, Accel Partners and Tiger Global Management.",Private Equity,147.58
22-03-2018,i2i Funding,Consumer Internet,Online loan platform,Noida,SucSEED Venture Partners,Seed/Angel Funding,6.3
22-03-2018,Slang Labs,Technology,Voice-based assistant platform,Bengaluru,Endiya Partners,Seed/Angel Funding,10.17
26-03-2018,Cash Suvidha,Consumer Internet,Online loan platform,Delhi,"Initia Holdings,Vipin Agarwal and others.",Seed/Angel Funding,8.2
27-03-2018,The Print,Media,News portal,Delhi,Ratan Tata,Seed/Angel Funding,4.39
27-03-2018,DriveU,Technology,Professional Car Drivers Hiring App,Bengaluru,Amit Singhal and Unitus Seed Fund,Private Equity,24.6
28-03-2018,Smartcoin,Finance,Micro lending company,Bengaluru,"Accion Venture Lab, Unicorn India Ventures and ISME ACE.",Seed/Angel Funding,16.4
02-04-2018,Fitternity,Consumer Internet,Online Fitness Discovey Platform,Mumbai,"Exfinity Venture, Saha fund Partners, Arihant Patni of Patni Family Office, Anjali Bansal, Shardul Amarchand Mangaldas, Satish Khanna and Taparia family office.",Private Equity,16.4
02-04-2018,Synctag,Technology,Social Media Anlaytics Platform,Coimbatore,Subhkam Ventures and Mohit Khadaria,Seed/Angel Funding,2.52
04-04-2018,Varthana,Finance,Loans and Services To Affordable Private Schools in India,Bengaluru,"ChrysCapital, Existing investors, Elevar Equity, LGT Impact, Omidyar Network and Kaizen Private Equity also participated in the round",Private Equity,450.94
05-04-2018,IndigoLearn,Ed-Tech,Online Education Platform,Hyderabad,"Maheshwar Peri, founder and chairman of career information portal Careers360, and Jamshed Jeejeebhoy, director at Byramjee Jeejeebhoy Pvt. Ltd were among the angels",Seed/Angel Funding,1.23
05-04-2018,Vedantu,Ed-Tech,Interactive Online Tutoring Platform,Bengaluru,"Accel Partners, Tiger Global And Others",Private Equity,81.99
09-04-2018,Kaleidofin,Finance,Digital Financial Services Platform,Chennai,Omidyar Network. Blume Ventures and Professor Shlomo Ben-Haim,Seed/Angel Funding,22.96
10-04-2018,TravelTriangle,Consumer Internet,Online Travel Marketplace,Gurugram,"Fundamentum, SAIF Partners, Bessemer Venture Partners, RB investments & Others",Private Equity,98.39
12-04-2018,Letsmd,Healthcare,Platform To Discover Healthcare Financing Options,Delhi,"SRI Capital, Waterbridge Ventures and ThinKuvate",Seed/Angel Funding,8.2
13-04-2018,mintifi,Finance,Online Lending Platform,Mumbai,Lok Capital,Seed/Angel Funding,16.4
